date,symbol,strategy,close,rsi,adx,vol_ratio,roc10,is_new
2026-07-11,AEMULUS,trending,0.33,71.6,25.6,4.88,37.5,True
2026-07-11,SCIENTX,trending,3.77,55.3,34.1,2.33,-0.53,True
2026-07-11,L&G,trending,0.165,56.4,29.3,1.95,6.45,True
2026-07-11,IOICORP,trending,4.51,72.4,26.0,1.46,5.62,True
2026-07-11,ECA,trending,0.295,55.8,53.1,1.33,3.51,True
2026-07-11,GCB,trending,1.16,65.7,40.1,0.97,8.41,True
2026-07-11,HKB,trending,0.615,54.4,40.8,0.92,-15.75,True
2026-07-11,SAMAIDEN,trending,1.42,62.7,30.9,0.88,3.65,True
2026-07-11,CBHB,trending,0.715,64.8,30.3,0.82,10.85,True
2026-07-11,MIKROMB,trending,0.52,65.3,37.4,0.81,0.0,True
2026-07-11,99SMART,trending,3.7,64.4,29.5,0.79,4.23,True
2026-07-11,JCY,trending,0.38,63.4,27.2,0.79,11.76,True
2026-07-11,KGB,trending,7.96,57.1,35.3,0.78,1.92,True
2026-07-11,PENTA,trending,4.71,53.1,26.1,0.73,-1.46,True
2026-07-11,UTDPLT,trending,34.26,63.9,33.0,0.7,5.09,True
2026-07-11,WPRTS,trending,6.18,61.5,28.2,0.69,3.87,True
2026-07-11,KLK,trending,21.6,57.3,27.5,0.69,1.41,True
2026-07-11,MCLEAN,trending,0.785,62.1,28.2,0.67,6.8,True
2026-07-11,GIIB,trending,0.495,65.2,26.6,0.66,3.12,True
2026-07-11,LHI,trending,0.78,62.4,29.1,0.64,3.31,True
2026-07-11,AMBEST,trending,0.875,59.2,39.3,0.63,1.16,True
2026-07-11,KEEMING,trending,1.85,68.6,62.9,0.6,8.82,True
2026-07-11,QES,trending,0.565,61.8,25.9,0.6,13.0,True
2026-07-11,LWSABAH,trending,1.52,63.0,44.0,0.56,4.11,True
2026-07-11,BMGREEN,trending,1.81,59.7,28.4,0.55,7.74,True
2026-07-11,THMY,trending,1.72,52.3,26.4,0.53,0.58,True
2026-07-11,ICENTS,trending,0.55,62.0,25.3,0.51,8.91,True
2026-07-11,DNEX,trending,0.435,59.0,34.1,0.42,3.57,True
2026-07-11,OGX,trending,0.49,57.0,30.0,0.38,2.08,True
2026-07-11,SLVEST,trending,3.04,54.8,27.0,0.34,1.67,True
2026-07-11,MNHLDG,trending,2.82,58.3,32.4,0.33,1.08,True
2026-07-11,DUFU,trending,2.31,56.1,30.4,0.28,-1.28,True
2026-07-11,SFPTECH,trending,0.295,57.4,36.5,0.28,1.72,True
2026-07-11,SCGBHD,trending,2.3,53.9,31.4,0.2,3.6,True
2026-07-11,SPRITZER,trending,2.96,63.2,37.1,0.14,2.07,True
2026-07-11,TFP,trending,0.08,53.1,27.9,0.11,-5.88,True
2026-07-11,GENP,trending,5.48,64.2,48.0,0.1,4.18,True
2026-07-11,SUNMED,early_uptrend,1.95,72.9,23.8,1.86,9.55,True
2026-07-11,SMRT,reversal,0.2,55.4,17.6,2.79,21.21,True
2026-07-11,CDB,reversal,2.99,63.4,26.6,1.05,10.74,True
2026-07-11,MFLOUR,reversal,0.585,69.3,20.9,1.03,6.36,True
2026-07-11,EDUSPEC,reversal,0.1,50.2,24.8,0.98,11.11,True
2026-07-11,HENGYUAN,reversal,1.16,54.8,15.6,0.96,12.62,True
2026-07-11,GENTING,reversal,2.27,53.0,17.2,0.91,3.65,True
2026-07-11,ENGTEX,reversal,0.44,51.7,29.0,0.79,8.64,True
2026-07-11,VELESTO,reversal,0.29,51.1,30.6,0.76,5.45,True
2026-07-11,MATRIX,reversal,1.23,52.6,23.4,0.47,3.36,True
2026-07-11,HIBISCS,reversal,1.99,55.9,25.8,0.28,13.07,True
2026-07-11,CHINHIN,reversal,2.09,51.4,15.9,0.25,0.0,True
2026-07-11,SMRT,gaining_momentum,0.2,55.4,17.6,2.79,21.21,True
2026-07-11,CPETECH,gaining_momentum,0.94,65.9,18.9,2.17,16.05,True
2026-07-11,SUNCON,gaining_momentum,7.7,64.9,11.5,1.86,5.19,True
2026-07-13,HSPLANT,trending,2.38,65.8,34.0,7.78,2.15,True
2026-07-13,SOP,trending,5.15,73.0,26.3,2.98,12.2,True
2026-07-13,ICENTS,trending,0.62,73.2,27.1,2.98,18.1,False
2026-07-13,KLK,trending,21.88,60.6,28.8,2.76,4.39,False
2026-07-13,LPI,trending,15.12,56.2,42.2,2.33,-0.13,True
2026-07-13,UTDPLT,trending,35.02,68.5,34.4,1.96,7.23,False
2026-07-13,SDG,trending,6.45,74.3,26.5,1.8,8.22,True
2026-07-13,L&G,trending,0.165,56.4,27.6,1.76,6.45,False
2026-07-13,JPG,trending,1.92,70.2,25.3,1.68,7.87,True
2026-07-13,LWSABAH,trending,1.51,61.3,45.0,1.59,2.72,False
2026-07-13,WPRTS,trending,6.24,64.8,30.3,1.47,3.31,False
2026-07-13,AEMULUS,trending,0.32,66.8,27.8,1.36,28.0,False
2026-07-13,ECOMATE,trending,0.86,53.9,29.2,1.06,0.0,True
2026-07-13,MAG,trending,0.175,57.5,33.4,1.03,0.0,True
2026-07-13,CBHB,trending,0.69,56.8,30.3,0.96,6.98,False
2026-07-13,JAG,trending,0.365,54.7,27.5,0.94,1.39,True
2026-07-13,LHI,trending,0.775,59.5,29.1,0.88,1.97,False
2026-07-13,KEEMING,trending,1.8,64.2,61.4,0.85,-3.23,False
2026-07-13,TAANN,trending,5.73,71.8,25.5,0.83,8.94,True
2026-07-13,SAMAIDEN,trending,1.4,58.3,30.7,0.83,0.72,False
2026-07-13,MCLEAN,trending,0.76,56.5,28.2,0.79,-2.56,False
2026-07-13,GENP,trending,5.5,65.3,49.4,0.75,5.77,False
2026-07-13,BMGREEN,trending,1.79,57.3,27.7,0.68,1.13,False
2026-07-13,MNHLDG,trending,2.82,58.3,31.0,0.66,-2.08,False
2026-07-13,GCB,trending,1.13,60.1,39.1,0.64,3.67,False
2026-07-13,HEGROUP,trending,0.58,71.8,50.4,0.64,17.17,True
2026-07-13,QES,trending,0.57,62.8,26.0,0.62,7.55,False
2026-07-13,MIKROMB,trending,0.52,65.3,36.1,0.57,0.97,False
2026-07-13,VIS,trending,0.35,69.4,44.9,0.5,52.17,True
2026-07-13,ECA,trending,0.315,62.2,50.0,0.44,-3.08,False
2026-07-13,DNEX,trending,0.425,55.4,33.5,0.42,1.19,False
2026-07-13,SCGBHD,trending,2.29,53.0,30.4,0.4,-2.55,False
